TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,372454,372454,1,Farm Service Agency Interest Of Mn,Farm Service Agency Interest Of Mn,Conservation Easement,Conservation Easement,National,Not Assigned,Not Applicable,0,0,0,1.14209461123269,1.14209390531108,Not Applicable,0,Designated,0,Federal or national ministry or agency,Individual landowners,"State Fish and Wildlife ; U.S. Fish and Wildlife Service",Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372457,372457,1,North Inlet-Winyah Bay National Estuarine Research Reserve,North Inlet-Winyah Bay National Estuarine Research Reserve,Marine Protected Area,Marine Protected Area,National,IV,Not Applicable,1,0,37.423945116169,76.5592893839348,76.559246195753,None,0,Designated,1992,Joint governance,Joint ownership,Joint,Site-Specific Management Plan,State Verified,1848,US-SC,USA,USA,Not Applicable,Not Applicable
Polygon,372416,372416,1,Norris Camp Peatland State Scientific and,Norris Camp Peatland State Scientific and,Natural Area,Natural Area,National,V,Not Applicable,0,0,0,6.66028174943896,6.66028826204426,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,"State Department of Natural Resources ; American Indian Lands",Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372418,372418,1,Norse Peak,Norse Peak,Wilderness,Wilderness,National,Ib,Not Applicable,0,0,0,211.639929288096,211.63993510964,Not Applicable,0,Designated,1984,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,US-WA,USA,USA,Not Applicable,Not Applicable
Polygon,372425,372425,1,North Bluitt,North Bluitt,State Habitat Area,State Habitat Area,National,V,Not Applicable,0,0,0,5.15620825654133,5.15620644100013,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-NM,USA,USA,Not Applicable,Not Applicable
Polygon,372429,372429,1,North Chickamauga Creek,North Chickamauga Creek,Wildlife Management Area,Wildlife Management Area,National,V,Not Applicable,0,0,0,12.666190590389,12.6661846628841,Not Applicable,0,Designated,2000,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-TN,USA,USA,Not Applicable,Not Applicable
Polygon,372430,372430,1,North Chickamauga Creek Gorge Designated,North Chickamauga Creek Gorge Designated,State Natural Area,State Natural Area,National,V,Not Applicable,0,0,0,28.7598183820685,28.7598506074853,Not Applicable,0,Designated,1999,Sub-national ministry or agency,State,State Department of Conservation,Not Reported,State Verified,1848,US-TN,USA,USA,Not Applicable,Not Applicable
Polygon,372435,372435,1,North Fork,North Fork,Wilderness,Wilderness,National,Ib,Not Applicable,0,0,0,33.5735791932991,33.5735942770023,Not Applicable,0,Designated,1984,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,US-CA,USA,USA,Not Applicable,Not Applicable
Polygon,372458,372458,1,North Jackson Mountains,North Jackson Mountains,Wilderness Area,Wilderness Area,National,Ib,Not Applicable,0,0,0,94.8939858347224,94.8940267611693,Not Applicable,0,Designated,0,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,US-NV,USA,USA,Not Applicable,Not Applicable
Polygon,372460,372460,1,North Lake Basin,North Lake Basin,Wildlife Management Area,Wildlife Management Area,National,V,Not Applicable,0,0,0,1.46465799068761,1.46465634997505,Not Applicable,0,Designated,1985,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-NE,USA,USA,Not Applicable,Not Applicable
Polygon,372438,372438,1,North Fork Boise River,North Fork Boise River,Research Natural Area,Research Natural Area,National,Ia,Not Applicable,0,0,0,3.60498274212608,3.60498234527733,Not Applicable,0,Designated,1995,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,US-ID,USA,USA,Not Applicable,Not Applicable
Polygon,372443,372443,1,North Fork John Day,North Fork John Day,Wilderness,Wilderness,National,Ib,Not Applicable,0,0,0,488.432828949564,488.432809344125,Not Applicable,0,Designated,1984,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,US-OR,USA,USA,Not Applicable,Not Applicable
Polygon,372465,372465,1,North Maricopa Mountains,North Maricopa Mountains,Wilderness Area,Wilderness Area,National,Ib,Not Applicable,0,0,0,259.872437375802,259.872456081085,Not Applicable,0,Designated,1990,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,US-AZ,USA,USA,Not Applicable,Not Applicable
Polygon,372466,372466,1,North Mccullough,North Mccullough,Wilderness Area,Wilderness Area,National,Ib,Not Applicable,0,0,0,59.8103607248857,59.8103607744259,Not Applicable,0,Designated,2013,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,US-NV,USA,USA,Not Applicable,Not Applicable
Polygon,372468,372468,1,North Mesquite Mountains,North Mesquite Mountains,Wilderness Area,Wilderness Area,National,Ib,Not Applicable,0,0,0,120.292193823236,120.292243481825,Not Applicable,0,Designated,1994,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,US-CA,USA,USA,Not Applicable,Not Applicable
Polygon,372749,372749,1,Oologah,Oologah,Wildlife Management Area,Wildlife Management Area,National,V,Not Applicable,0,0,0,73.3377726321825,73.3377540574841,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-OK,USA,USA,Not Applicable,Not Applicable
Polygon,372754,372754,1,Optima,Optima,Wildlife Management Area,Wildlife Management Area,National,V,Not Applicable,0,0,0,37.0936174351447,37.09349374944,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-OK,USA,USA,Not Applicable,Not Applicable
Polygon,999968,999968,1,"Offshore Island; Keopuka Rock","Offshore Island; Keopuka Rock",Seabird Sanctuary,Seabird Sanctuary,National,V,Not Applicable,1,0,0.00706001909004319,0.00807160813481505,0.00807160813472365,Not Reported,0,Designated,0,Sub-national ministry or agency,State,State Department of Natural Resources,Not Reported,State Verified,1848,US-HI,USA,USA,Not Applicable,Not Applicable
Polygon,44443573,44443573,1,Blind Sucker River Flooding,Blind Sucker River Flooding,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,20.5872224610984,20.5872232596303,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MI,USA,USA,Not Applicable,Not Applicable
Polygon,372447,372447,1,North Fork Nooksak,North Fork Nooksak,Research Natural Area,Research Natural Area,National,Ia,Not Applicable,0,0,0,6.59818353070154,6.59818122360981,Not Applicable,0,Designated,1934,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,US-WA,USA,USA,Not Applicable,Not Applicable
Polygon,372450,372450,1,North Fork Owyhee River,North Fork Owyhee River,Designated - Wild,Designated - Wild,National,V,Not Applicable,0,0,0,12.3982737971458,12.398287731379,Not Applicable,0,Designated,1988,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,US-OR,USA,USA,Not Applicable,Not Applicable
Polygon,372482,372482,1,North River,North River,Wildlife Management Area,Wildlife Management Area,National,V,Not Applicable,0,0,0,2.56407227891511,2.56407286982991,Not Applicable,0,Designated,1980,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-NE,USA,USA,Not Applicable,Not Applicable
Polygon,372486,372486,1,North Santa Teresa,North Santa Teresa,Wilderness Area,Wilderness Area,National,Ib,Not Applicable,0,0,0,23.5072358726065,23.5073089145285,Not Applicable,0,Designated,1990,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,US-AZ,USA,USA,Not Applicable,Not Applicable
Polygon,372516,372516,1,Norwegian,Norwegian,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,0.341091652693752,0.341091607119073,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,999969,999969,1,"Offshore Island; Moke'ehina","Offshore Island; Moke'ehina",Seabird Sanctuary,Seabird Sanctuary,National,V,Not Applicable,1,0,0.00901870692629971,0.0259279170894388,0.025927917372125,Not Reported,0,Designated,0,Sub-national ministry or agency,State,State Department of Natural Resources,Not Reported,State Verified,1848,US-HI,USA,USA,Not Applicable,Not Applicable
Polygon,55553197,55553197,1,Cedar Swamp,Cedar Swamp,PCL,PCL,National,V,Not Applicable,0,0,0,0.182143947313841,0.182142532428479,Not Applicable,0,Designated,1987,Non-profit organisations,Non-profit organisations,Non-Governmental Organization,Not Reported,State Verified,1848,US-MA,USA,USA,Not Applicable,Not Applicable
Polygon,372540,372540,1,Oak Glen,Oak Glen,Wildlife Management Area,Wildlife Management Area,National,V,Not Applicable,0,0,0,2.56935284634253,2.56935330553739,Not Applicable,0,Designated,1983,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-NE,USA,USA,Not Applicable,Not Applicable
Polygon,372548,372548,1,Oak Valley,Oak Valley,Wildlife Management Area,Wildlife Management Area,National,V,Not Applicable,0,0,0,2.53928093128649,2.53928094126761,Not Applicable,0,Designated,1978,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-NE,USA,USA,Not Applicable,Not Applicable
Polygon,372541,372541,1,Oak Glen Expansion Acquisition - Phase I,Oak Glen Expansion Acquisition - Phase I,Conservation Area,Conservation Area,National,Not Assigned,Not Applicable,0,0,0,1.21866115174289,1.21865187441433,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,County Land,Not Reported,State Verified,1848,US-OH,USA,USA,Not Applicable,Not Applicable
Polygon,372543,372543,1,Oak Isle,Oak Isle,State Wildlife Management Area,State Wildlife Management Area,National,V,Not Applicable,0,0,0,0.368818908975047,0.368819784810587,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-MN,USA,USA,Not Applicable,Not Applicable
Polygon,372556,372556,1,Oaky Woods,Oaky Woods,Wildlife Management Area,Wildlife Management Area,National,V,Not Applicable,0,0,0,58.3873197296595,58.3873278847184,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Department of Natural Resources,Not Reported,State Verified,1848,US-GA,USA,USA,Not Applicable,Not Applicable
Polygon,372637,372637,1,O'Brien Creek,O'Brien Creek,Research Natural Area,Research Natural Area,National,Ia,Not Applicable,0,0,0,2.82484771122186,2.82484731562068,Not Applicable,0,Designated,1994,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,US-MT,USA,USA,Not Applicable,Not Applicable
Polygon,372929,372929,1,Paria-Hackberry 202,Paria-Hackberry 202,Wilderness Study Area,Wilderness Study Area,National,Ib,Not Applicable,0,0,0,1.62597693850465,1.62597693437085,Not Applicable,0,Designated,1986,Federal or national ministry or agency,State,Bureau of Land Management,Not Reported,State Verified,1848,US-UT,USA,USA,Not Applicable,Not Applicable
Polygon,372638,372638,1,Obsidian Sands,Obsidian Sands,Research Natural Area,Research Natural Area,National,Ia,Not Applicable,0,0,0,1.5996747132652,1.59968896033681,Not Applicable,0,Designated,1997,Federal or national ministry or agency,State,Forest Service,Not Reported,State Verified,1848,US-MT,USA,USA,Not Applicable,Not Applicable
Polygon,372756,372756,1,Orange Co. (Jordan) Game Manage,Orange Co. (Jordan) Game Manage,Game Area,Game Area,National,V,Not Applicable,0,0,0,1.75696050496888,1.75696212596835,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-IN,USA,USA,Not Applicable,Not Applicable
Polygon,372944,372944,1,Parowan Front,Parowan Front,State Wildlife Area,State Wildlife Area,National,V,Not Applicable,0,0,0,27.674395223522,27.6744575617289,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-UT,USA,USA,Not Applicable,Not Applicable
Polygon,372643,372643,1,Occoquan Bay,Occoquan Bay,National Wildlife Refuge,National Wildlife Refuge,National,IV,Not Applicable,0,0,0,2.56558677566194,2.56558718970278,Not Reported,0,Designated,1973,Federal or national ministry or agency,State,U.S. Fish and Wildlife Service,Not Reported,State Verified,1848,US-VA,USA,USA,Not Applicable,Not Applicable
Polygon,372645,372645,1,Ocean Lake,Ocean Lake,Wildlife Habitat Management Area,Wildlife Habitat Management Area,National,V,Not Applicable,0,0,0,46.0414357459252,46.0414321147872,Not Applicable,0,Designated,0,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-WY,USA,USA,Not Applicable,Not Applicable
Polygon,372760,372760,1,Orchid Valley,Orchid Valley,Natural Area,Natural Area,National,V,Not Applicable,0,0,0,0.447208762755098,0.447208484573831,Not Applicable,0,Designated,1977,Not Reported,State,Unknown,Not Reported,State Verified,1848,US-MO,USA,USA,Not Applicable,Not Applicable
Polygon,372999,372999,1,Pawnee Slough,Pawnee Slough,Wildlife Management Area,Wildlife Management Area,National,V,Not Applicable,0,0,0,0.292681701823423,0.292681704627025,Not Applicable,0,Designated,1987,Sub-national ministry or agency,State,State Fish and Wildlife,Not Reported,State Verified,1848,US-NE,USA,USA,Not Applicable,Not Applicable
